node_id	longitude	latitude
u1555z7t6fey	4.388475	51.193085
u1555zku3bhp	4.390149	51.192900
u1555zmk3bpz	4.390841	51.192900
u1555zms200p	4.391098	51.192900
u1557u5m5620	4.388148	51.219132
u1555zrhm85z	4.393399	51.192900
u1555zrkr0pz	4.393812	51.192900
u155hp2j3psp	4.394580	51.193112
u155hp2jryrz	4.394875	51.193105
u155k89mt30p	4.418446	51.199986
u155hp3k780p	4.396398	51.192900
u155hp3sex21	4.396741	51.192981
u155hp3vxf0p	4.397267	51.193125
u155khwsvyb4	4.403704	51.221860
u1557upv018h	4.394188	51.219129
u155kh0j3700	4.394585	51.219179
u155hp7hvrrv	4.398887	51.193024
u155hp7kq0pz	4.399263	51.192900
u155kh0vv05v	4.395781	51.219250
u155hpkh2b5z	4.400062	51.192900
u155hpkkk00p	4.400539	51.192900
u155hpks7b5z	4.400877	51.192900
u155hpkvvb80	4.401301	51.193159
u155hpmkky80	4.401945	51.192934
u155kh5m6wpu	4.399112	51.219196
u155khhm407g	4.400459	51.219122
u155khhuc7bp	4.401108	51.219099
u155khxkt9ev	4.404729	51.221790
u155hr2u26pu	4.406569	51.192910
u155hr3j2mpz	4.406912	51.193098
u155hr3t9uh5	4.407658	51.193135
u155hr3ufts1	4.408033	51.193014
u155hr3ur65u	4.408237	51.192910
u155khpvb0b1	4.405174	51.219253
u155hr7h380p	4.409702	51.192900
u155hr7hr2gu	4.409954	51.192903
u155hr7t2d04	4.410346	51.193082
u155hrkh8pbj	4.411011	51.192984
u155hrkm9bgz	4.411435	51.193119
u155hrkmsy85	4.411558	51.193149
u155hrkufj81	4.412127	51.193014
u155hrmjtusp	4.412636	51.193139
u155hrmmqb5y	4.413022	51.193072
u155hrmuv8xc	4.413661	51.192987
u155hrqhq85z	4.414042	51.192900
u155hrqs7b0p	4.414605	51.192900
u155hx2sq8hp	4.417475	51.192900
u155hx2ud4k0	4.417625	51.192954
u155hx3keqsj	4.418365	51.192977
u155kknvh1xu	4.414970	51.219129
u155kkpqh024	4.415646	51.219293
u155kkpv6hrb	4.416257	51.219186
u155kkpvdwzv	4.416279	51.219243
u155ks0jpzbh	4.416837	51.219162
u155ks0tz2b1	4.417502	51.219253
u155hx7u725z	4.421799	51.192900
u155ks1qhksn	4.418408	51.219317
u155hxkkr8pz	4.422673	51.192900
u155hxks68hp	4.422796	51.192900
u155hxmh625z	4.423472	51.192900
u155ks4uy68p	4.420549	51.219092
u155ks5hf1rz	4.420720	51.219085
u155kcmx330j	4.435097	51.204406
u155ks5vf521	4.421740	51.219267
u155hxrs20pz	4.426814	51.192900
u155hz2kq8hp	4.428118	51.192900
u155hz2u28hp	4.428547	51.192900
u155hz3j00h4	4.428869	51.193028
u155hz3k685z	4.429320	51.192900
u155hz3t5vey	4.429716	51.193058
u155hz6h70pz	4.430376	51.192900
u155hz6kbv81	4.430612	51.193014
u155hz6ur20p	4.431578	51.192900
u155hz7m0wbn	4.431975	51.193065
u155hz7km05z	4.432173	51.192900
u155hzks7bpz	4.433842	51.192900
u155hzktqbhn	4.433965	51.193072
u155hzmhm20p	4.434582	51.192900
u155ku4trcpu	4.431267	51.219169
u155ku4yq1ey	4.431530	51.219344
u155ku5mn7eb	4.432227	51.219139
u155hzrhtk0h	4.437329	51.192964
u155hzrk320p	4.437500	51.192900
u155hzrt96pz	4.437854	51.193125
u155kujuby2p	4.435419	51.219112
u155kunjtp81	4.435945	51.219246
u155jp3sr2pz	4.440858	51.192900
u155jp6hmbhp	4.441475	51.192900
u155mh0j02bp	4.438487	51.219125
u155jp7tqgrg	4.443583	51.193088
u155jp7uq2hp	4.443900	51.192900
u155jpkumb5z	4.445252	51.192900
u155jpmmkv5z	4.445896	51.193098
u155jpmu7b5z	4.446539	51.192900
u155jpqh68hp	4.446829	51.192900
u155mh5sy12p	4.443541	51.219085
u155jprhdqh1	4.448192	51.192974
u155jprmde7z	4.448546	51.193132
u155mhhy4s8n	4.445107	51.219317
u155mhjms1k1	4.445863	51.219213
u155jr2mmueg	4.450058	51.193095
u155jr2u60pz	4.450589	51.192900
u155jr3hk8pz	4.451040	51.192900
u1555xqxhuup	4.381694	51.193398
u1555xrn1wuj	4.382241	51.193236
u155mk1vjb25	4.452113	51.219122
u1555z2jyf7u	4.383840	51.193169
u1555z2w51rb	4.384371	51.193206
u155mk4vzezv	4.453572	51.219270
u1555z3nevk4	4.385085	51.193314
u1555z3w428h	4.385701	51.193203
u1557snyyds5	4.382113	51.219435
u1555z6pjkrg	4.386528	51.193394
u1555z6qfw05	4.386742	51.193361
u1555z6w437b	4.387080	51.193206
u1555z7nuyez	4.387874	51.193364
u1555z7qvfup	4.388260	51.193344
u1555z7x462p	4.388448	51.193384
u1557u4n93b5	4.386345	51.219387
u1555zmq150j	4.390798	51.193216
u1555zqwcprg	4.392525	51.193367
u1555zqzrf8h	4.393147	51.193428
u155ktrqvtgu	4.426702	51.226319
u155hp3ywjgy	4.397197	51.193317
u155hp6qmzxy	4.397879	51.193283
u155kh0pzgzf	4.394875	51.219613
u155hp7mu7pb	4.399188	51.193172
u155hpknwp5y	4.400287	51.193324
u155hpkwbs0p	4.400733	51.193351
u155hpkvgnpu	4.401194	51.193189
u155hpkyhw7c	4.401253	51.193233
u155hpmnpmh1	4.401714	51.193226
u155hpmw1ghj	4.402165	51.193216
u155kh5x35s1	4.399386	51.219525
u155khhqf5gu	4.400459	51.219441
u155khhz4yeb	4.401178	51.219498
u155khjpbbsn	4.401435	51.219596
u155khjrr621	4.402052	51.219519
u155hr2w8p0n	4.406204	51.193324
u155khjz6vrv	4.402556	51.219535
u155hr2yrj5v	4.406853	51.193270
u155hr3w72zc	4.407728	51.193246
u155khppwwpv	4.404434	51.219582
u155khpwvw7u	4.405072	51.219455
u155khpyu0sp	4.405351	51.219424
u155kk0nq784	4.405786	51.219354
u155kk0rxzkj	4.406199	51.219589
u155hr7ym3rv	4.410903	51.193250
u155hrknemun	4.411156	51.193317
u155hrkwx7kn	4.412014	51.193304
u155hrmq0120	4.412727	51.193206
u155hrmq7dh1	4.412883	51.193253
u155hrqju78h	4.413940	51.193176
u155kk5xd5sj	4.410415	51.219569
u155kk5zppu0	4.410973	51.219505
